Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Buttons_Checkpoints_Testsuite,Firefox 122.0,,,07-02-2024 17:47:25,07-02-2024 17:49:13,1m - 47.811s,PASSED
,,,,,,,
Test Cases/Buttons/TC_Checkbox_buttons_Validation,Firefox 122.0,,,07-02-2024 17:47:25,07-02-2024 17:48:11,45.209s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 122.0,,,07-02-2024 17:47:25,07-02-2024 17:47:26,0.820s,ERROR
"openBrowser("""")",Firefox 122.0,Invoking Browser,,07-02-2024 17:47:26,07-02-2024 17:47:32,5.266s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 122.0,Launch the url,,07-02-2024 17:47:32,07-02-2024 17:47:39,7.034s,PASSED
"click(findTestObject(""Object Repository/CURA_New_001/Buttons_Validation_OR/Page_CURA Healthcare Service/amenu-toggle""))",Firefox 122.0,,,07-02-2024 17:47:39,07-02-2024 17:47:41,2.582s,PASSED
"click(findTestObject(""Object Repository/CURA_New_001/Buttons_Validation_OR/Page_CURA Healthcare Service/a_Login""))",Firefox 122.0,,,07-02-2024 17:47:41,07-02-2024 17:47:44,2.859s,PASSED
"setText(findTestObject(""Object Repository/CURA_New_001/Buttons_Validation_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Firefox 122.0,,,07-02-2024 17:47:44,07-02-2024 17:47:49,4.370s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA_New_001/Buttons_Validation_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 122.0,,,07-02-2024 17:47:49,07-02-2024 17:47:51,2.167s,PASSED
takeScreenshot(),Firefox 122.0,,,07-02-2024 17:47:51,07-02-2024 17:47:53,2.689s,PASSED
"click(findTestObject(""Object Repository/CURA_New_001/Buttons_Validation_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 122.0,Click on Login Button,,07-02-2024 17:47:53,07-02-2024 17:47:57,3.313s,PASSED
